Phenotype	Study	Gene	Estimate (Beta)	Statistic	Two-sided P-value	EUR Sample Size	AFR Sample Size	HIS Sample Size
WBC	TOPMed-MESA mRNA	ENSG00000143127_ITGA10	0.01933734516956874	6.097573023834742	1.08067527854884e-9	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000143252_SDHC	0.01760055840552004	5.084967893275877	3.68323213079085e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000143303_RRNAD1	0.01940395738163037	5.633440398528876	1.7710332026236512e-8	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000143401_ANP32E	-0.02397326154331836	-6.293706281909034	3.112009226466558e-10	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000143434_SEMA6C	-0.03003836134874205	-8.115473758577528	4.891047703940247e-16	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000143443_C1orf56	-0.01862826715071624	-5.196441012656021	2.035214913866051e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000143554_SLC27A3	-0.01711130270328869	-5.077672934289158	3.827418495599989e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000143590_EFNA3	0.02282770930725354	6.878533348996911	6.081101154590957e-12	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000143621_ILF2	0.02618167512833302	8.156092079568285	3.498399503925588e-16	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000143622_RIT1	-0.02131884426729495	-6.838869421268345	8.025816088630857e-12	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000143624_INTS3	0.0215162103394984	6.743105545508865	1.5584058330555825e-11	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000146592_CREB5	-0.02814977523460862	-8.86950418175624	7.459834940666073e-19	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000150337_FCGR1A	-0.02466308315003326	-6.964538730536207	3.314216797360955e-12	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000153814_JAZF1	-0.01942036584247013	-5.912012734566141	3.3899994626512112e-9	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000158481_CD1C	-0.05091573981263819	-13.591385399986027	4.8927340035862175e-42	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000158485_CD1B	-0.03036561010379512	-9.512507457762684	1.898920275067855e-21	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000158488_CD1E	-0.03102726308579854	-9.637146558051356	5.690425008168682e-22	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000158710_TAGLN2	-0.04365637965545531	-12.343158757331816	5.610747962793966e-35	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000158714_SLAMF8	0.01764447146123626	5.581252910861135	2.3938366842861545e-8	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000158716_DUSP23	0.02605532492615504	7.95165963681464	1.8585750379072672e-15	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000158769_F11R	0.02099934012428989	6.764827802525735	1.3416886320281462e-11	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000158773_USF1	0.02926330610124627	8.7158366099255975	2.9274563921439346e-18	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000158796_DEDD	-0.01624357521183434	-4.980713250909556	6.345134072933028e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000160691_SHC1	-0.0363951790215207	-9.478695836972104	2.6262380438615334e-21	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000160781_PAQR6	-0.01954566049879388	-6.094613545037062	1.100850494844209e-9	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000160789_LMNA	-0.04912269947164492	-13.60820461157886	3.8891749596241054e-42	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000161405_IKZF3	-0.03245798899473117	-10.287065762678512	8.282925619305897e-25	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000162723_SLAMF9	-0.05025074909286212	-14.090541199294648	4.776715007073078e-45	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000162729_IGSF8	-0.0199470691622356	-6.260317241794645	3.8568433982917144e-10	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000162739_SLAMF6	0.02754965010082775	8.217922117099418	2.0940305102614711e-16	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000162747_FCGR3B	-0.03113183788708043	-10.128371905234731	4.2424541203482935e-24	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000163191_S100A11	-0.02607029366393546	-7.099561907384838	1.2594779243324301e-12	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000163374_YY1AP1	0.01918253958740863	5.483443112503807	4.1809121106772126e-8	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000163382_NAXE	0.03662763352939319	10.705398583636915	9.914121925852276e-27	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000163399_ATP1A1	-0.01698858537851653	-5.016291201433623	5.276478313746469e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000163462_TRIM46	0.04191194040698756	11.973073020049917	5.169034536647794e-33	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000163472_TMEM79	-0.02124349018926095	-6.555855137407875	5.558083201726174e-11	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000163563_MNDA	-0.01869681058837651	-5.9132115627635	3.365415600366291e-9	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000163565_IFI16	-0.01535384595847299	-4.961589485187494	7.002846513666733e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000163902_RPN1	-0.01891441912026143	-6.098670447325115	1.0732859849068718e-9	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000166165_CKB	0.01787725012439329	5.6503323817365105	1.605540309342691e-8	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000169180_XPO6	-0.01906740955771947	-5.458270397327925	4.8188740583233223e-08	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000171786_NHLH1	0.02083172318904414	6.410698160131474	1.454709069368653e-10	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000172057_ORMDL3	0.02946164728316623	9.530320489087568	1.5999902425341527e-21	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000173218_VANGL1	-0.01970801290167407	-5.8186619820655014	5.949337026112556e-9	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000173705_SUSD5	0.01786161586548417	4.938575996275418	7.881651877452298e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000173991_TCAP	0.01851502321680095	5.976241954089278	2.2908204899718486e-9	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000175489_LRRC25	-0.01681616503358055	-5.233005300787073	1.6709775379608189e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000179639_FCER1A	0.03823199858538706	12.271459187985812	1.3620489340043688e-34	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000179914_ITLN1	-0.0197262876281023	-5.848206001708776	4.983793810794647e-9	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000181036_FCRL6	0.02117481137885447	6.737853680196145	1.615744505293862e-11	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000185499_MUC1	0.02092935783731084	6.6742254915440515	2.497793366433955e-11	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000186075_ZPBP2	-0.03302965624826558	-10.520726503255837	7.144063560881897e-26	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000186470_BTN3A2	0.01840869243062496	5.862213259360032	4.581077036627121e-9	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000187862_TTC24	-0.03759526271099088	-11.05332718991752	2.1905880208694806e-28	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000188015_S100A3	0.03794014397205482	10.4212723170625	2.0407338022780496e-25	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000188452_CERKL	-0.02476266190634958	-8.020422077173498	1.0646563625838213e-15	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000188610_FAM72B	0.01607646200825921	5.174245648697965	2.292562662546827e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000196154_S100A4	0.0472391185390503	12.12239171651046	8.470666590275312e-34	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000196189_SEMA4A	-0.03004359666769835	-9.074588319542444	1.1602356438273136e-19	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000197375_SLC22A5	0.01627573448204103	5.064859225574211	4.093973155332099e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000197747_S100A10	-0.01974229058582522	-6.111321113585117	9.915831308748172e-10	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000198019_FCGR1B	0.01467294351805627	4.7522747947739585	2.0140836728701213e-6	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000198121_LPAR1	0.01474452325295419	4.7814672304299926	1.7425742452929772e-6	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000198483_ANKRD35	0.01751828198348398	5.052176991863024	4.37538334208735e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000198715_GLMP	-0.02164107587661998	-6.705422444680685	2.01843424852218e-11	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000198952_SMG5	-0.02084562514124907	-6.433476864351863	1.2525552038470373e-10	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000203865_ATP1A1-AS1	-0.02251361711474813	-6.18604457596272	6.192080305844145e-10	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000211451_GNRHR2	0.02827792138607957	6.890975072450346	5.572420126876719e-12	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000215845_TSTD1	0.02813651322000399	8.118670793124341	4.76401065265063e-16	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000223804_AC244669.1	0.01509051096749784	5.024076485089995	5.066946097940393e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000224950_AL390066.2	0.02350134793845472	7.54239106749481	4.65151412113433e-14	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000226167_AP4B1-AS1	0.01791325368617576	5.608037311926588	2.051503755936383e-8	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000227741_AL121987.2	-0.01761350207721809	-5.478052845179842	4.310225323000228e-8	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000227776_AKR1D1P1	-0.02208939985826843	-5.95508493921321	2.607656501490479e-9	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000228863_AL121985.1	-0.01891051465541635	-5.91965817039856	3.236164850595271e-9	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000229021_AL450992.2	0.01530167097697973	4.750107387755004	2.0357868323535813e-6	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000232871_SEC1P	0.01936071654334793	5.25389919679292	1.492042010077191e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000233030_AC243772.2	-0.02494299857152881	-6.7583985268566575	1.402554174228444e-11	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000234222_LIX1L-AS1	0.04285707819786628	10.659670004528872	1.621808849387389e-26	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000234336_JAZF1-AS1	-0.02000654812726278	-6.179316153042606	6.461702069029014e-10	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000236137_AL445231.1	0.02323383552773875	7.521025688141527	5.4781423994311704e-14	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000236263_AC234582.2	0.0173621775783399	5.253377463355467	1.4962755572197025e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000243284_VSIG8	0.03584691536957236	10.522109865339855	7.040035296342089e-26	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000246203_AL353807.3	0.02424041890789206	7.0435682587266895	1.885316219274555e-12	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000260314_MRC1	0.01587612958470074	5.004739745700092	5.602839797546904e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000264968_AC090844.2	-0.04317566641811631	-15.268705575028084	1.4094090795664101e-52	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000265241_RBM8A	0.0346846455529178	8.012267170411851	1.137657772726399e-15	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000266208_AC080112.2	0.01823911206528561	6.438798385908578	1.2094412823176402e-10	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000267655_AC125437.1	-0.01728955511173167	-5.2159350813934005	1.83240688239892e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000270629_NBPF14	0.01384852806339756	5.108633592227071	3.250674403981355e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000271601_LIX1L	0.03976046120849769	9.4813967420454	2.559190830551717e-21	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000272031_ANKRD34A	0.02046722041300022	5.503956407420209	3.7223286242889716e-8	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000272668_AL590560.3	0.02471323145833434	7.416483422805683	1.2117818338081825e-13	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000273302_AC016747.3	-0.01545427743548521	-4.893795741317982	9.905682792846955e-7	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000274124_AC074029.3	-0.01567732188773509	-4.87751392441098	1.0758925075211806e-6	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000275538_RNVU1-19	0.02121959807933819	6.0874554584011875	1.1511785986442604e-9	63953	21772	18517
WBC	TOPMed-MESA mRNA	ENSG00000280332_AC020917.4	-0.01655201480450653	-4.917266132105769	8.789436332967286e-7	63953	21772	18517
WBC	TOPMed-MESA Proteins	ENSG00000105383_SL005215	0.02046012399470517	6.0308391321086	1.636569024179601e-9	63953	21772	18517
WBC	TOPMed-MESA Proteins	ENSG00000136689_SL001990	-0.0171837660060798	-5.679051296686055	1.3580283911168372e-8	63953	21772	18517
WBC	TOPMed-MESA Proteins	ENSG00000143369_SL006550	-0.01660253887856184	-5.024728110476352	5.049776937761056e-7	63953	21772	18517
WBC	TOPMed-MESA Proteins	ENSG00000160712_SL001943	0.02420589153352028	7.40624355151535	1.3090189551539824e-13	63953	21772	18517
WBC	TOPMed-MESA Proteins	ENSG00000163220_SL004477	0.01467959860477344	4.896503796581633	9.770239097465837e-7	63953	21772	18517
WBC	TOPMed-MESA Proteins	ENSG00000197956_SL004827	-0.03677182428266841	-10.015521288379896	1.3351718700266016e-23	63953	21772	18517
WBC	GENOA mRNA	ENSG00000004534	-0.01685419735158139	-4.915096265606736	8.890260732439988e-7	63839	21732	0
WBC	GENOA mRNA	ENSG00000008838	-0.04825822105030821	-14.500468378546554	1.370553836983984e-47	63839	21732	0
WBC	GENOA mRNA	ENSG00000065183	0.01932840901542511	5.436880229460157	5.4369386285260354e-8	63839	21732	0
WBC	GENOA mRNA	ENSG00000073605	0.02837626680803737	8.247536115141576	1.6395782406444166e-16	63839	21732	0
WBC	GENOA mRNA	ENSG00000081721	0.03700097180088782	8.217700928042433	2.103047971399618e-16	63839	21732	0
WBC	GENOA mRNA	ENSG00000116521	-0.02423732035409842	-6.473127454386207	9.6511811893945e-11	63839	21732	0
WBC	GENOA mRNA	ENSG00000116874	0.02376728807233623	6.582713341082234	4.645959360682058e-11	63839	21732	0
WBC	GENOA mRNA	ENSG00000131748	0.01727791788879271	5.290741301559121	1.221204075436303e-7	63839	21732	0
WBC	GENOA mRNA	ENSG00000132676	-0.01980574726075332	-5.224766607404168	1.7478236880657134e-7	63839	21732	0
WBC	GENOA mRNA	ENSG00000132716	-0.0206847790055471	-7.151604447004937	8.645277290571414e-13	63839	21732	0
WBC	GENOA mRNA	ENSG00000132718	-0.02159089515731705	-6.272898538698406	3.560751305691962e-10	63839	21732	0
WBC	GENOA mRNA	ENSG00000133641	0.01847752502815296	4.906637276409361	9.28210001099264e-7	63839	21732	0
WBC	GENOA mRNA	ENSG00000136689	-0.01854226261604859	-5.376014869462655	7.635125172585099e-8	63839	21732	0
WBC	GENOA mRNA	ENSG00000143401	-0.02345194132898294	-6.001884891490377	1.958213218842298e-9	63839	21732	0
WBC	GENOA mRNA	ENSG00000143554	-0.01887657248567817	-5.239877824416072	1.6106262585758288e-7	63839	21732	0
WBC	GENOA mRNA	ENSG00000143621	0.02063860082426083	5.561555315104554	2.6817697574848533e-8	63839	21732	0
WBC	GENOA mRNA	ENSG00000143622	0.04231988655212761	9.90411051366122	4.111248295866498e-23	63839	21732	0
WBC	GENOA mRNA	ENSG00000143624	-0.02986470234850745	-7.6085705816549645	2.7996349313065476e-14	63839	21732	0
WBC	GENOA mRNA	ENSG00000158710	0.03451372216185607	9.309252008296571	1.3165603607376571e-20	63839	21732	0
WBC	GENOA mRNA	ENSG00000160741	-0.01760176656313805	-5.05130054894288	4.397118488241657e-7	63839	21732	0
WBC	GENOA mRNA	ENSG00000160818	0.03437362312355502	8.669159265217107	4.4275477078891804e-18	63839	21732	0
WBC	GENOA mRNA	ENSG00000160856	-0.02600587845441347	-6.994058584066659	2.6899488998066765e-12	63839	21732	0
WBC	GENOA mRNA	ENSG00000161395	0.02618349238626407	6.956922612851354	3.5027141880153034e-12	63839	21732	0
WBC	GENOA mRNA	ENSG00000162746	0.03035811091599907	7.8976499173816705	2.875623093208386e-15	63839	21732	0
WBC	GENOA mRNA	ENSG00000163155	-0.03038667549923919	-7.414610820870608	1.2310313614533457e-13	63839	21732	0
WBC	GENOA mRNA	ENSG00000163344	0.03078462866691087	8.25316322843797	1.5642203053418719e-16	63839	21732	0
WBC	GENOA mRNA	ENSG00000163346	0.03719542662126717	10.496137592649324	9.329228419625378e-26	63839	21732	0
WBC	GENOA mRNA	ENSG00000163374	0.02451725171958513	6.506389732124949	7.740127607194478e-11	63839	21732	0
WBC	GENOA mRNA	ENSG00000163468	0.02321399936906878	6.238507908049898	4.4382281089652454e-10	63839	21732	0
WBC	GENOA mRNA	ENSG00000163565	-0.04591626527283362	-11.330939631053075	9.682733234562587e-30	63839	21732	0
WBC	GENOA mRNA	ENSG00000169418	0.02882951239002346	7.323515689430381	2.436708705807637e-13	63839	21732	0
WBC	GENOA mRNA	ENSG00000172057	0.02865969178353398	8.331404570493222	8.105335661668882e-17	63839	21732	0
WBC	GENOA mRNA	ENSG00000173218	-0.02530326988464668	-5.820307547007803	5.894818884862106e-9	63839	21732	0
WBC	GENOA mRNA	ENSG00000175489	-0.01853044691648261	-5.170758181301024	2.3366942392370253e-7	63839	21732	0
WBC	GENOA mRNA	ENSG00000183856	-0.03749568409554268	-9.376422741618452	6.98423667474629e-21	63839	21732	0
WBC	GENOA mRNA	ENSG00000185875	0.01939669860932911	5.514721078909697	3.5033998421236116e-8	63839	21732	0
WBC	GENOA mRNA	ENSG00000186075	-0.02528111981619525	-7.448171903439266	9.552758510389737e-14	63839	21732	0
WBC	GENOA mRNA	ENSG00000186470	0.01875641001361434	5.80294821035882	6.538780155183609e-9	63839	21732	0
WBC	GENOA mRNA	ENSG00000196189	0.01627062227251692	4.746143505102449	2.076660621268418e-6	63839	21732	0
WBC	GENOA mRNA	ENSG00000197747	-0.01679133287107896	-4.823691366813549	1.4116735790188045e-6	63839	21732	0
WBC	GENOA mRNA	ENSG00000253831	-0.03099473597255834	-7.788141676062618	6.876061841433783e-15	63839	21732	0
